Act/Fact/Duty,,Sentence,Token,Tag
Fact,Setup,The game of chess is played on an 8x8 grid.,"['The', 'game', 'of', 'chess', 'is', 'played', 'on', 'an', '8x8', 'grid', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', '.']"
Fact,,"The queen can move in any one straight direction - forward, backward, sideways, or diagonally - as far as possible as long as she does not move through any of her own pieces.","['The', 'queen', 'can', 'move', 'in', 'any', 'one', 'straight', 'direction', '-', 'forward', ',', 'backward', ',', 'sideways', ',', 'or', 'diagonally', '-', 'as', 'far', 'as', 'possible', 'as', 'long', 'as', 'she', 'does', 'not', 'move', 'through', 'any', 'of', 'her', 'own', 'pieces', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', '-', 'F', ',', 'F', ',', 'F', ',', 'F', 'F', '-', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', '.']"
Fact,Movement,"The king can only move one square in any direction - up, down, to the sides, and diagonally.","['The', 'king', 'can', 'only', 'move', 'one', 'square', 'in', 'any', 'direction', '-', 'up', ',', 'down', ',', 'to', 'the', 'sides', ',', 'and', 'diagonally', '.']
","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', '-', 'F', ',', 'F', ',', 'F', 'F', 'F', ',', 'F', 'F', '.']
"
Fact,Setup,"Each player starts with 16 pieces of which there are 1 king, 1 queen, 2 rooks, 2 knights, 2 bishops, and 8 pawns.","['Each', 'player', 'starts', 'with', '16', 'pieces', 'of', 'which', 'there', 'are', '1', 'king', ',', '1', 'queen', ',', '2', 'rooks', ',', '2', 'knights', ',', '2', 'bishops', ',', 'and', '8', 'pawns', '.']","['Each', 'player', 'starts', 'with', '16', 'pieces', 'of', 'which', 'there', 'are', '1', 'king', ',', '1', 'queen', ',', '2', 'rooks', ',', '2', 'knights', ',', '2', 'bishops', ',', 'and', '8', 'pawns', '.']"
Fact,Objective,"The objective of chess is to checkmate the opponent's king, rendering it unable to escape capture.","['The', 'objective', 'of', 'chess', 'is', 'to', 'checkmate', 'the', ""opponent's"", 'king', ',', 'rendering', 'it', 'unable', 'to', 'escape', 'capture', '.']",
Fact,Winning Condition,"If a player has no legal moves and their king is not in check, the game is a draw by stalemate.","['If', 'a', 'player', 'has', 'no', 'legal', 'moves', 'and', 'their', 'king', 'is', 'not', 'in', 'check', ',', 'the', 'game', 'is', 'a', 'draw', 'by', 'stalemate', '.']",
Conditional  Act,,"If a pawn advances to a square that is occupied by an enemy pawn, the player removes the overtaken pawn from the board.","['If', 'a', 'pawn', 'advances', 'to', 'a', 'square', 'that', 'is', 'occupied', 'by', 'an', 'enemy', 'pawn', ',', 'the', 'player', 'removes', 'the', 'overtaken', 'pawn', 'from', 'the', 'board', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Simple Act,,A player captures an opponent's piece by moving their own piece to the occupied square.,"['A', 'player', 'captures', 'an', ""opponent's"", 'piece', 'by', 'moving', 'their', 'own', 'piece', 'to', 'the', 'occupied', 'square', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional  Act,,"If a pawn reaches the eighth rank, the player can promote it to any other piece.","['If', 'a', 'pawn', 'reaches', 'the', 'eighth', 'rank', ',', 'the', 'player', 'can', 'promote', 'it', 'to', 'any', 'other', 'piece', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional  Act,,"If the king and a rook of the same color have not moved, and there are no pieces between them, the player can perform castling.","['If', 'the', 'king', 'and', 'a', 'rook', 'of', 'the', 'same', 'color', 'have', 'not', 'moved', ',', 'and', 'there', 'are', 'no', 'pieces', 'between', 'them', ',', 'the', 'player', 'can', 'perform', 'castling', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', '.']
"
Simple Act,,The pawn can only move forward by one square.,"['The', 'pawn', 'can', 'only', 'move', 'forward', 'by', 'one', 'square', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional  Act,,"If a player's king is in check, they must make a move to get out of check on their turn.","['If', 'a', ""player's"", 'king', 'is', 'in', 'check', ',', 'they', 'must', 'make', 'a', 'move', 'to', 'get', 'out', 'of', 'check', 'on', 'their', 'turn', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional  Act,,"If a pawn makes a double move from its starting position and lands adjacent to an opponent's pawn, the opponent can capture it en passant.","['If', 'a', 'pawn', 'makes', 'a', 'double', 'move', 'from', 'its', 'starting', 'position', 'and', 'lands', 'adjacent', 'to', 'an', ""opponent's"", 'pawn', ',', 'the', 'opponent', 'can', 'capture', 'it', 'en', 'passant', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Simple Act,,A rook moves horizontally or vertically to an unoccupied square.,"['A', 'rook', 'moves', 'horizontally', 'or', 'vertically', 'to', 'an', 'unoccupied', 'square', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional Act,,The player performs an exchange by capturing an opponent's piece with one of their own pieces.,"['The', 'player', 'performs', 'an', 'exchange', 'by', 'capturing', 'an', ""opponent's"", 'piece', 'with', 'one', 'of', 'their', 'own', 'pieces', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
"
Conditional  Act,,"In the case that the game is timed, the player starts their clock at the start of their turn and stops it after making their move.","['In', 'the', 'case', 'that', 'the', 'game', 'is', 'timed', ',', 'the', 'player', 'starts', 'their', 'clock', 'at', 'the', 'start', 'of', 'their', 'turn', 'and', 'stops', 'it', 'after', 'making', 'their', 'move', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Simple Act,,The player starts their clock at the start of their turn and stops it after making their move.,"['The', 'player', 'starts', 'their', 'clock', 'at', 'the', 'start', 'of', 'their', 'turn', 'and', 'stops', 'it', 'after', 'making', 'their', 'move', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional  Act,Winning Condition,"If a player's clock runs out before making the winning move, their opponent wins.","['If', 'a', ""player's"", 'clock', 'runs', 'out', 'before', 'making', 'the', 'winning', 'move', ',', 'their', 'opponent', 'wins', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', '.']"
Duty,,The player ought to make a move with the pawn he touches first.,"['The', 'player', 'ought', 'to', 'make', 'a', 'move', 'with', 'the', 'pawn', 'he', 'touches', 'first', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', '.']"
Fact,,"A stalemate is met when a player can not make any legal moves, but his king is also not in check.","['A', 'stalemate', 'is', 'met', 'when', 'a', 'player', 'can', 'not', 'make', 'any', 'legal', 'moves', ',', 'but', 'his', 'king', 'is', 'also', 'not', 'in', 'check', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', '.']"
Duty,,All actions need to follow the rules.,"['All', 'actions', 'need', 'to', 'follow', 'the', 'rules', '.']","['All', 'actions', 'need', 'to', 'follow', 'the', 'rules', '.']"